ob_time,id,id_type,met_domain_name,version_num,src_id,rec_st_ind,wind_speed_unit_id,src_opr_type,wind_direction,wind_speed,prst_wx_id,past_wx_id_1,past_wx_id_2,cld_ttl_amt_id,low_cld_type_id,med_cld_type_id,hi_cld_type_id,cld_base_amt_id,cld_base_ht,visibility,msl_pressure,cld_amt_id_1,cloud_type_id_1,cld_base_ht_id_1,cld_amt_id_2,cloud_type_id_2,cld_base_ht_id_2,cld_amt_id_3,cloud_type_id_3,cld_base_ht_id_3,cld_amt_id_4,cloud_type_id_4,cld_base_ht_id_4,vert_vsby,air_temperature,dewpoint,wetb_temp,rltv_hum,stn_pres,alt_pres,ground_state_id,q10mnt_mxgst_spd,cavok_flag,cs_hr_sun_dur,wmo_hr_sun_dur,snow_depth,wind_direction_q,wind_speed_q,prst_wx_id_q,past_wx_id_1_q,past_wx_id_2_q,cld_ttl_amt_id_q,low_cld_type_id_q,med_cld_type_id_q,hi_cld_type_id_q,cld_base_amt_id_q,cld_base_ht_q,visibility_q,msl_pressure_q,air_temperature_q,dewpoint_q,wetb_temp_q,ground_state_id_q,cld_amt_id_1_q,cloud_type_id_1_q,cld_base_ht_id_1_q,cld_amt_id_2_q,cloud_type_id_2_q,cld_base_ht_id_2_q,cld_amt_id_3_q,cloud_type_id_3_q,cld_base_ht_id_3_q,cld_amt_id_4_q,cloud_type_id_4_q,cld_base_ht_id_4_q,vert_vsby_q,stn_pres_q,alt_pres_q,q10mnt_mxgst_spd_q,cs_hr_sun_dur_q,wmo_hr_sun_dur_q,snow_depth_q,wind_direction_j,wind_speed_j,prst_wx_id_j,past_wx_id_1_j,past_wx_id_2_j,cld_amt_id_j,cld_ht_j,visibility_j,msl_pressure_j,air_temperature_j,dewpoint_j,wetb_temp_j,rltv_hum_j,vert_vsby_j,stn_pres_j,alt_pres_j,q10mnt_mxgst_spd_j,meto_stmp_time,midas_stmp_etime,drv_hr_sun_dur,drv_hr_sun_dur_q
01/01/2023 10:00,3166,WMO,SYNOP,1,19260,1011,4,7,350,1,10,NA,NA,8,NA,NA,NA,NA,5,1000,998.4,3,NA,6,8,NA,42,NA,NA,NA,NA,NA,NA,NA,3.6,3.3,3.5,98.2,991.4,NA,NA,NA,NA,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 10:04,NA,0,1
01/01/2023 11:00,3166,WMO,SYNOP,1,19260,1011,4,7,0,0,61,NA,NA,8,NA,NA,NA,NA,5,800,999.2,3,NA,6,6,NA,36,NA,NA,NA,NA,NA,NA,NA,3.7,3.4,3.6,98,992.2,NA,NA,NA,NA,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 11:04,NA,0,1
01/01/2023 12:00,3166,WMO,SYNOP,1,19260,1011,4,7,270,4,23,NA,NA,8,NA,NA,NA,NA,10,500,999.4,8,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.7,3.9,98,992.4,NA,NA,NA,NA,NA,0,NA,6,6,6,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 12:04,NA,0,1
01/01/2023 13:00,3166,WMO,SYNOP,1,19260,1011,4,5,250,5,NA,NA,NA,8,NA,NA,NA,NA,30,4500,999.7,8,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,2.8,3.4,93.1,992.7,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 13:04,NA,0,1
01/01/2023 14:00,3166,WMO,SYNOP,1,19260,1011,4,5,230,3,NA,NA,NA,8,NA,NA,NA,NA,30,5000,1000.4,1,NA,39,8,NA,72,NA,NA,NA,NA,NA,NA,NA,4,2.7,3.5,91.3,993.4,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 14:04,NA,0,1
01/01/2023 15:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,5,NA,NA,NA,8,NA,NA,NA,NA,30,7000,1000.9,7,NA,30,3,NA,81,NA,NA,NA,NA,NA,NA,NA,3.9,2.3,3.3,89.5,993.9,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 15:04,NA,0.1,1
01/01/2023 16:00,3166,WMO,SYNOP,1,19260,1011,4,5,240,4,NA,NA,NA,8,NA,NA,NA,NA,30,7500,1001.8,6,NA,42,7,NA,66,NA,NA,NA,NA,NA,NA,NA,3.6,2,3,89.2,994.7,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 16:05,NA,0.3,1
01/01/2023 17:00,3166,WMO,SYNOP,1,19260,1011,4,5,260,4,NA,NA,NA,8,NA,NA,NA,NA,30,5500,1002.1,8,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,2.9,90.3,995.1,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 17:04,NA,0,1
01/01/2023 18:00,3166,WMO,SYNOP,1,19260,1011,4,5,270,3,NA,NA,NA,8,NA,NA,NA,NA,30,7500,1002.3,8,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1.5,2.5,89,995.3,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 18:04,NA,0,1
01/01/2023 19:00,3166,WMO,SYNOP,1,19260,1011,4,5,260,4,NA,NA,NA,8,NA,NA,NA,NA,30,5500,1002.9,8,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1.5,2.5,89.4,995.9,NA,NA,NA,NA,NA,0,NA,6,6,NA,NA,NA,6,NA,NA,NA,NA,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/01/2023 19:03,NA,0,1
